Student_ID,Age,Gender,Department,Level,Attendance,CGPA,Failed_Courses,LMS_Engagement,Financial_Stress,Dropout
ST1000,26,0,11,500,60,1.89,5,2,1,1
ST1001,34,0,10,500,73,0.79,3,2,0,1
ST1002,24,0,10,500,32,3.87,5,2,1,1
ST1003,28,0,12,500,36,4.05,7,2,1,1
ST1004,19,1,2,500,85,0.71,2,0,0,1
ST1005,35,1,0,500,93,3.19,8,1,1,1
ST1006,21,0,3,500,88,1.77,3,0,1,1
ST1007,17,1,12,500,99,3.36,4,2,1,0
ST1008,24,1,8,500,83,1.4,8,0,1,1
ST1009,33,1,4,500,87,4.66,1,1,0,0
ST1010,19,1,1,400,53,0.54,4,2,0,1
ST1011,16,0,1,200,82,1.93,2,2,1,1
ST1012,16,0,9,500,79,4.09,0,1,0,0
ST1013,35,0,8,300,89,1.46,8,0,0,1
ST1014,32,1,3,300,47,0.63,6,1,1,1
ST1015,34,1,7,200,34,1.55,0,2,0,1
ST1016,18,1,3,300,55,3.93,3,2,0,1
ST1017,32,0,8,500,31,1.23,0,2,0,1
ST1018,18,1,13,500,34,2.08,7,0,0,1
ST1019,19,0,7,500,50,3.99,0,1,0,1
ST1020,28,1,9,200,76,1.71,2,2,0,1
ST1021,30,1,4,200,51,0.68,7,0,1,1
ST1022,27,0,1,400,90,4.83,2,2,1,1
ST1023,18,0,2,500,88,0.79,3,1,0,1
ST1024,23,0,12,100,95,1.75,6,0,0,1
ST1025,16,1,14,300,68,3.69,5,1,0,1
ST1026,33,1,12,400,57,2.92,5,1,0,1
ST1027,28,1,10,500,55,3.33,0,0,0,0
ST1028,22,1,3,300,93,2.16,0,1,0,1
ST1029,28,0,0,100,41,0.75,2,2,0,1
ST1030,32,1,9,100,91,0.87,8,2,0,1
ST1031,28,1,7,500,87,4.88,5,2,0,0
ST1032,28,1,7,500,68,3.59,6,0,0,1
ST1033,26,1,10,500,73,2.47,0,1,0,1
ST1034,29,1,6,300,83,0.59,0,0,0,1
ST1035,25,1,8,300,62,3.81,2,1,1,1
ST1036,23,0,10,400,34,3.57,2,0,1,1
ST1037,21,0,7,200,91,2.28,7,0,0,1
ST1038,34,1,7,100,70,4.37,1,2,0,1
ST1039,34,0,0,500,55,3.97,5,2,1,1
ST1040,27,0,2,200,54,3.5,8,1,1,1
ST1041,22,0,11,100,52,3.96,0,0,0,1
ST1042,33,0,11,200,55,3.89,0,1,0,1
ST1043,35,1,3,200,40,2.06,2,2,1,1
ST1044,33,0,11,200,88,3.65,3,2,0,0
ST1045,18,0,2,300,37,1.55,3,2,1,1
ST1046,24,1,11,400,64,2.54,0,0,0,1
ST1047,21,1,14,300,61,1.83,3,0,0,1
ST1048,16,0,10,200,69,4.03,6,2,0,1
ST1049,25,0,11,300,49,4.29,7,2,0,1
ST1050,23,0,7,500,83,3.0,3,0,1,1
ST1051,32,1,7,500,32,1.32,7,0,0,1
ST1052,18,0,1,500,49,0.81,6,2,0,1
ST1053,18,1,9,500,77,1.0,3,2,0,1
ST1054,18,0,9,200,39,3.39,7,0,0,1
ST1055,22,0,2,100,57,3.8,7,1,1,1
ST1056,26,1,8,400,48,4.75,0,0,0,1
ST1057,33,1,13,100,95,4.16,4,1,0,1
